Gender,breakfast,calories_day,coffee,cook,cuisine,drink,eating_out,employment,exercise,fruit_day,greek_food,healthy_feeling,ideal_diet_coded,income,italian_food,marital_status,on_off_campus,pay_meal_out,self_perception_weight,sports,veggies_day,vitamins,weight
2,1,0,1,2,0,1,3,3,1,5,5,2,8,5,5,1,1,2,4,1,5,1,85
1,1,3,2,3,1,2,2,2,1,4,4,5,3,4,4,2,1,4,4,1,4,2,70
1,1,2,2,1,2,2,2,2,1,4,4,6,2,6,5,1,1,4,3,1,4,2,86
1,1,3,2,3,0,2,1,3,2,2,2,4,2,1,5,2,1,5,2,2,1,2,86
2,1,3,2,2,1,1,2,3,1,4,5,4,2,4,5,1,2,2,3,1,4,1,82
1,1,3,1,3,1,2,2,2,2,5,3,3,2,5,3,1,1,5,4,2,4,2,62
1,1,0,1,3,1,1,5,2,0,4,5,7,6,5,5,2,1,3,3,2,3,2,82
1,1,3,2,3,1,1,3,3,1,5,5,3,2,4,5,2,1,3,4,1,5,1,57
1,1,3,2,1,1,2,2,1,1,5,1,9,7,3,5,1,3,2,6,1,5,2,53
1,1,4,2,3,1,1,1,2,1,5,5,1,2,5,5,2,1,3,5,1,5,1,50
2,1,3,2,5,1,2,1,3,3,4,3,9,1,5,4,2,1,2,2,1,3,2,120
1,1,3,2,2,1,2,4,2,2,5,4,8,2,5,5,2,2,3,4,1,5,2,56
2,1,3,2,3,1,2,2,3,2,5,4,2,1,5,3,1,2,3,4,1,5,1,84
2,2,0,2,4,1,2,4,3,1,3,1,6,2,4,5,2,1,3,5,1,1,2,82
1,1,3,1,3,0,1,1,2,2,5,2,7,2,1,3,2,1,2,4,2,5,1,66
2,1,3,2,3,1,2,2,3,1,3,3,8,1,6,5,2,1,6,5,1,4,2,77
1,1,3,1,3,1,1,3,2,3,5,3,6,2,5,5,2,1,2,4,2,5,1,61
2,1,2,2,4,1,2,2,3,2,2,3,4,3,5,5,1,1,3,3,0,2,2,75
2,1,3,2,5,1,2,4,2,1,2,2,5,1,6,4,1,1,2,1,1,3,2,80
2,1,3,1,3,3,0,1,2,1,3,5,8,7,6,5,2,1,5,5,1,2,2,89
2,1,3,1,5,2,1,1,2,1,4,4,2,2,6,5,1,1,5,5,1,3,1,84
2,2,3,2,4,1,1,2,2,3,3,2,4,1,4,5,1,1,3,4,1,4,1,84
1,1,2,2,1,1,2,4,3,0,4,5,5,2,4,5,2,1,3,3,2,4,2,48
1,2,3,2,3,1,1,2,3,1,4,3,8,2,6,3,1,1,3,4,1,3,2,57
2,1,2,1,3,1,1,2,2,1,3,1,9,5,5,5,2,1,4,5,1,3,2,73
2,1,4,2,4,1,2,2,3,1,5,3,9,6,6,4,2,1,6,5,1,5,1,80
2,1,2,2,2,2,1,2,2,2,3,1,4,7,5,5,1,1,3,4,2,2,1,82
2,1,2,2,3,0,2,5,3,2,5,3,9,7,5,5,1,1,4,5,2,4,1,76
1,1,3,2,3,1,1,3,2,2,3,2,7,2,5,4,2,3,3,4,1,5,1,52
2,1,3,2,2,1,2,2,3,2,5,5,5,1,4,5,1,4,3,3,2,5,1,93
1,1,3,1,4,2,1,2,3,3,3,5,7,2,3,5,1,1,3,4,2,3,1,58
1,1,3,2,4,1,1,3,3,1,5,3,1,7,6,5,1,1,4,5,1,4,1,68
1,1,2,2,1,1,1,2,3,1,5,3,2,6,4,5,2,2,3,5,1,5,2,68
1,1,3,2,3,0,2,4,2,1,5,3,7,5,6,5,1,1,3,3,1,5,2,68
1,1,4,2,2,6,2,2,2,3,3,5,4,2,6,5,2,1,4,3,1,4,2,77
1,1,3,2,3,1,1,2,3,2,4,3,6,2,5,5,2,1,3,3,1,3,2,68
2,1,0,2,5,1,2,5,3,1,5,1,3,2,6,4,2,2,3,6,1,3,2,80
2,1,3,1,3,1,2,2,3,1,3,5,10,2,6,5,1,1,3,5,1,4,2,64
1,1,4,2,2,1,1,4,2,1,5,5,6,3,3,5,1,1,3,1,2,5,1,55
1,1,3,2,4,1,2,2,2,0,5,5,6,1,6,5,1,1,3,4,2,4,2,61
1,1,2,1,3,1,1,1,0,0,4,5,6,2,3,5,2,0,2,0,2,4,1,45
1,1,4,2,1,1,1,2,2,1,5,5,8,7,5,5,1,2,6,4,1,5,1,77
1,1,3,2,3,1,1,2,2,0,5,5,3,6,6,5,2,1,4,6,2,5,2,51
2,1,2,1,3,1,2,2,2,2,4,4,4,5,4,5,1,1,3,4,1,4,2,76
2,1,0,2,4,1,1,2,0,1,5,3,8,7,6,4,1,1,3,5,1,5,2,66
2,2,0,1,4,1,2,2,3,1,5,4,2,7,5,5,1,1,3,6,1,5,1,70
2,1,3,2,3,2,1,2,0,2,3,4,9,2,3,5,2,1,6,6,2,3,2,68
2,1,3,2,5,1,1,2,3,1,4,1,8,4,1,3,1,3,3,4,2,5,2,77
2,1,4,1,3,1,1,3,3,1,5,5,8,5,6,5,1,1,3,5,1,4,1,84
2,1,4,2,1,1,1,5,0,1,5,5,1,3,5,5,1,1,3,5,1,5,2,91
2,1,0,2,4,1,2,3,0,0,4,4,5,3,3,5,1,3,3,3,2,4,1,120
2,1,3,2,1,2,1,3,3,1,5,5,10,7,6,5,1,1,6,5,1,5,1,75
1,2,2,2,3,0,2,5,3,1,4,3,8,5,3,5,1,1,2,4,1,4,2,87
2,1,4,2,3,1,1,4,3,1,5,4,1,2,6,5,1,2,4,5,1,5,1,80
1,1,4,2,2,1,1,3,2,1,4,5,9,2,5,5,1,1,3,5,1,4,1,64
1,1,3,2,1,2,2,2,2,2,5,5,4,6,5,5,1,2,4,4,1,5,1,70
1,1,0,2,2,1,2,2,3,0,5,5,7,1,6,5,1,2,3,4,1,4,2,70
1,1,4,2,2,1,2,5,3,1,5,4,3,6,6,5,1,1,3,5,1,5,1,61
1,1,2,2,2,0,1,2,2,2,3,3,2,2,4,4,2,3,2,5,2,3,1,54
2,1,4,2,3,1,1,5,2,1,4,3,2,7,6,5,1,1,3,5,1,4,1,95
1,1,4,2,3,2,0,4,3,1,5,4,8,6,5,4,2,1,3,5,1,5,2,82
1,1,3,1,1,1,1,3,2,1,5,4,3,5,2,5,2,1,2,3,1,5,1,64
1,1,0,2,2,2,1,3,3,2,3,3,3,6,6,5,2,1,5,5,2,3,2,51
1,1,3,1,2,1,2,2,3,0,5,4,3,5,4,5,2,1,3,5,1,5,1,57
1,1,2,1,4,1,2,3,2,2,5,2,2,7,5,4,2,1,4,5,1,5,2,65
1,1,3,1,3,1,2,1,3,1,5,3,8,3,6,5,2,1,4,4,1,5,2,66
1,2,4,2,2,0,2,2,3,2,3,1,3,4,6,5,2,2,3,4,2,5,1,59
1,1,3,2,3,1,1,1,2,2,5,5,3,1,3,5,2,1,3,4,1,5,1,64
1,1,0,2,2,1,1,1,2,1,5,3,5,3,5,5,2,1,6,3,1,5,1,64
2,2,3,2,3,1,2,1,2,2,5,2,3,7,5,5,1,1,2,4,2,5,1,64
2,1,4,2,1,1,2,4,3,1,3,3,1,3,6,5,2,3,3,4,1,4,1,91
1,1,3,2,3,1,1,2,2,1,5,3,6,2,5,5,2,1,4,4,2,4,1,55
1,2,3,1,2,1,2,2,2,2,4,2,4,3,3,5,1,2,3,3,1,2,2,68
2,2,2,1,2,1,2,2,2,2,3,1,4,7,3,4,2,1,3,4,1,2,2,91
1,1,3,2,2,1,1,2,2,1,5,4,8,3,5,4,2,1,3,4,1,4,1,61
2,1,3,2,5,1,2,1,3,1,5,5,1,8,6,5,1,1,3,5,1,4,2,66
1,1,2,2,3,1,2,3,2,2,3,3,4,2,4,5,1,1,3,4,2,2,1,59
1,2,3,1,3,1,2,3,3,1,4,4,2,3,4,5,2,1,5,3,1,2,2,86
1,1,0,2,0,1,2,5,3,1,3,3,8,2,3,5,1,1,3,4,1,3,2,77
1,1,3,2,2,1,1,2,0,0,4,5,4,5,1,5,0,1,2,4,1,4,2,58
1,1,3,2,1,1,2,2,3,1,5,5,9,5,5,5,2,1,3,5,1,5,1,76
1,1,3,2,3,1,2,3,2,3,5,4,7,5,6,5,2,1,3,4,2,4,1,64
1,1,3,2,2,1,2,1,3,2,5,4,3,5,6,5,1,1,3,3,1,4,1,86
2,1,3,1,4,1,2,2,2,1,4,1,5,2,6,5,1,1,3,3,1,4,1,70
2,2,4,2,0,1,2,1,2,1,4,5,7,6,2,5,1,1,4,5,2,4,1,80
1,1,3,2,3,0,1,2,2,1,5,4,7,2,3,5,1,1,3,4,2,5,1,59
2,1,4,2,4,0,2,2,3,1,5,4,7,4,6,5,1,1,4,3,1,4,1,118
1,2,2,2,2,1,2,3,2,2,2,1,5,2,6,4,2,2,3,4,2,1,2,61
2,2,0,2,2,1,2,5,2,3,1,1,8,3,3,5,2,1,3,3,1,4,2,86
2,1,0,2,4,1,2,2,3,3,4,4,6,2,4,5,1,1,4,4,2,5,2,75
2,1,3,2,2,0,2,2,0,1,5,5,7,7,6,5,2,1,3,4,1,5,1,80
2,1,0,2,3,1,2,2,3,1,4,4,10,6,5,5,2,1,3,5,1,4,2,84
2,1,3,2,2,2,2,2,2,2,3,3,2,2,6,5,1,1,3,1,2,2,1,95
1,1,3,2,3,1,2,2,2,1,5,2,1,2,5,5,1,1,5,4,1,5,2,70
2,1,3,1,4,6,2,5,3,2,5,5,8,3,6,5,2,4,6,3,1,4,1,84
1,1,4,1,4,2,1,3,2,0,5,3,3,4,4,5,2,1,3,4,1,5,1,75
1,1,3,2,3,1,1,2,2,2,5,5,2,4,2,5,2,1,2,5,1,5,2,57
1,1,0,2,3,1,2,2,2,3,5,5,3,2,5,5,1,1,2,2,2,5,2,73
1,1,4,2,2,1,2,3,3,1,5,2,7,3,0,5,1,1,3,3,2,5,1,61
1,1,3,2,2,1,1,2,2,2,5,3,4,2,4,5,1,1,3,1,2,5,1,59
1,1,3,2,4,1,2,2,2,0,4,3,9,2,5,5,1,1,4,2,2,5,1,105
1,1,3,2,3,1,2,3,0,2,3,5,2,5,4,5,2,2,5,4,1,2,2,57
1,1,3,2,2,0,1,5,0,2,5,5,7,1,1,5,1,1,3,3,2,5,2,59
1,1,3,1,2,1,1,2,2,1,4,3,5,2,4,5,1,1,3,3,2,4,2,75
1,1,2,2,5,1,2,2,3,1,5,2,6,1,6,5,2,1,3,4,1,5,2,58
1,1,3,2,2,1,2,3,2,3,4,2,5,2,6,5,1,1,3,2,2,3,1,91
1,1,3,1,3,2,1,4,3,2,3,4,8,2,3,5,2,2,4,4,1,3,2,73
2,1,2,2,2,0,2,2,2,2,3,5,9,2,5,3,1,3,6,4,2,3,2,77
1,1,4,2,1,1,1,4,3,1,5,5,10,4,6,5,2,1,3,4,2,3,2,59
1,1,2,1,2,1,2,3,2,2,4,3,9,7,6,5,2,1,3,3,2,2,2,77
2,1,3,2,3,4,2,3,3,2,4,3,7,2,3,4,2,1,5,6,1,3,2,63
2,1,4,2,4,1,2,2,2,1,5,1,10,3,6,4,2,1,5,5,1,2,2,68
1,1,0,2,3,0,1,4,3,2,5,1,5,5,1,5,1,1,3,3,2,5,1,77
1,1,0,2,3,4,1,2,2,0,3,2,9,2,2,4,1,1,2,3,2,3,1,51
1,1,3,1,3,1,1,2,2,2,5,3,5,5,3,5,2,3,4,3,2,5,2,64
2,1,3,2,2,5,1,2,2,2,5,5,7,3,2,5,2,1,3,3,1,5,2,84
1,1,4,2,3,1,2,2,1,2,5,5,5,6,4,5,1,3,4,3,1,5,1,71
1,1,2,2,3,0,1,4,3,2,4,1,5,5,2,5,1,1,4,3,0,5,2,82
1,1,0,1,3,0,1,3,3,2,4,5,6,2,2,3,1,1,4,3,2,4,2,55
2,1,4,1,3,1,2,5,2,1,5,1,1,6,4,5,1,1,3,5,2,3,1,61
1,1,0,2,0,3,1,1,2,2,3,2,3,3,5,3,2,1,3,4,2,4,2,61
2,1,1,2,5,3,2,3,3,2,3,3,7,2,1,3,2,1,2,4,1,4,2,59
2,1,3,2,3,3,1,2,3,1,5,3,10,3,0,4,1,4,5,4,1,5,2,60
2,0,1,2,1,3,0,1,0,1,3,0,9,1,0,3,0,0,0,3,1,5,2,72
2,1,4,2,4,3,1,2,3,2,4,0,7,2,1,0,1,1,1,3,1,5,2,85
2,1,4,2,2,3,1,3,1,2,2,3,8,4,3,3,1,2,2,3,1,4,1,85
2,0,3,2,5,3,1,2,3,1,3,0,6,2,1,2,1,1,0,3,1,4,2,68
1,1,1,2,0,5,1,2,3,3,4,3,5,1,0,3,1,1,5,3,1,4,2,52
1,1,1,1,4,5,1,2,3,4,4,2,9,1,1,3,1,1,4,3,2,2,2,50
1,1,3,2,4,3,2,3,3,4,4,4,7,1,1,3,1,1,6,3,2,4,2,50
1,0,1,0,1,3,0,2,1,4,4,2,8,2,0,2,4,4,0,4,0,3,2,43
1,1,4,2,2,3,2,3,4,2,4,3,7,3,1,4,1,1,3,4,1,5,2,65
2,1,4,1,4,3,1,2,0,2,4,3,8,1,1,3,2,1,2,4,1,5,2,73
1,1,3,2,4,6,1,2,3,2,4,3,8,1,1,3,2,1,1,4,1,5,1,55.4
1,2,3,2,3,3,1,3,3,4,4,3,6,1,1,4,1,2,2,2,1,5,2,80
1,1,4,2,2,3,1,2,1,4,5,3,7,2,2,3,4,4,2,3,1,4,1,60
2,1,3,1,3,6,1,5,2,4,5,0,5,7,0,3,1,1,2,6,1,5,2,54
1,1,1,2,4,3,1,2,2,3,3,3,8,3,1,3,2,1,3,6,2,3,2,96
1,1,3,2,2,3,1,2,1,1,4,3,7,1,3,3,4,4,3,3,1,4,2,55
1,0,1,2,4,6,1,0,3,4,4,0,6,1,0,0,1,1,0,3,1,3,1,56
2,1,3,2,3,3,1,3,4,3,4,3,8,1,5,4,2,3,6,4,1,4,2,67
1,1,3,1,2,6,1,2,1,4,4,4,2,3,1,3,4,4,6,6,2,4,2,49
2,0,1,2,5,3,1,2,3,2,4,0,10,1,1,2,2,1,1,1,1,1,1,70
2,0,3,0,4,0,1,2,3,3,3,2,8,2,0,3,1,1,0,3,1,3,2,63
1,0,3,1,3,6,1,4,3,3,5,3,6,1,0,3,2,1,6,5,1,4,2,42
1,1,3,1,4,6,1,2,2,1,4,3,8,7,0,3,1,1,3,2,1,5,1,60
2,1,4,2,4,3,1,5,3,1,5,3,8,3,1,3,1,2,1,4,1,5,2,78
1,1,3,2,4,3,1,2,2,4,3,3,8,7,1,4,1,1,2,4,1,4,2,55
1,1,1,2,4,3,1,2,3,2,4,4,8,1,0,4,2,1,3,4,1,4,2,55
2,1,4,2,3,3,2,4,3,1,3,3,8,2,1,4,3,2,2,4,1,4,2,70
2,1,1,2,5,3,1,0,3,4,3,2,7,2,0,3,1,1,2,5,1,4,2,58
1,1,1,2,4,3,1,2,2,1,5,0,5,1,1,3,1,1,2,4,1,5,2,51
2,0,3,1,4,3,1,2,3,1,5,0,10,3,1,2,1,1,1,4,1,4,1,62
2,1,1,2,5,3,1,3,2,4,4,3,5,1,1,3,1,1,3,3,2,5,1,80
2,2,3,2,5,5,1,2,3,2,2,3,8,2,0,4,2,1,1,3,1,3,2,70
1,0,3,2,4,3,1,3,3,4,4,3,7,3,1,3,1,1,2,4,1,3,2,50
2,1,1,0,5,4,2,5,3,4,3,0,4,3,0,2,2,0,3,0,1,4,2,55
2,1,4,2,2,3,1,2,3,2,5,3,7,2,1,3,4,2,2,4,1,5,2,75
2,0,1,2,3,3,1,2,2,2,4,0,6,1,1,0,1,1,4,4,1,4,2,60
2,1,3,2,3,3,1,2,3,4,3,3,5,2,1,4,2,1,3,3,2,3,2,86
1,2,3,2,3,3,2,3,3,1,4,3,7,4,1,3,1,2,3,4,1,2,1,49
2,1,4,2,4,3,1,3,3,4,4,0,6,8,0,3,1,1,2,3,1,5,2,65
1,1,3,2,3,3,2,2,3,4,5,3,6,4,2,3,1,2,0,5,1,4,2,50
1,2,1,1,3,6,1,2,1,4,2,2,6,4,0,2,0,4,2,3,2,4,2,63
0,1,3,2,3,6,1,0,3,2,3,3,7,3,0,3,1,1,0,4,1,3,1,46
1,1,4,1,3,6,1,2,1,4,5,3,7,1,4,3,4,3,4,3,2,5,2,99
1,1,1,2,3,3,1,3,1,1,3,3,8,2,1,3,4,4,5,3,1,5,2,52
1,0,3,1,5,3,2,3,1,5,4,3,8,3,4,3,4,4,6,3,2,4,2,69
2,1,1,2,5,3,0,3,1,4,4,3,4,8,3,2,4,4,6,3,1,3,1,80
2,1,2,2,5,3,1,4,3,5,2,0,5,7,1,0,1,1,0,6,2,2,2,56
1,1,1,2,3,3,1,1,1,4,3,2,5,1,3,2,4,3,3,3,1,4,2,60
1,1,3,1,4,3,1,5,2,4,5,3,6,1,4,4,2,1,4,4,2,5,1,49.7
2,2,3,0,2,3,2,2,2,4,4,5,6,4,5,2,1,1,1,1,2,4,2,77
2,1,1,2,5,3,1,5,3,4,3,3,7,1,1,3,1,1,2,3,1,4,1,60
1,1,1,2,4,3,1,2,3,4,5,0,6,7,0,0,0,1,0,6,1,3,2,56
1,0,1,1,0,6,1,5,3,4,5,0,7,1,0,3,2,1,2,4,1,1,2,52
2,1,4,2,4,3,1,2,3,4,5,2,6,2,1,3,2,1,1,4,1,5,2,73
1,1,1,2,2,3,1,2,3,4,5,3,8,2,0,4,2,3,0,3,1,5,2,53
2,1,3,2,5,5,2,3,3,3,3,2,5,3,1,3,1,1,2,5,1,4,2,63
2,1,4,2,4,3,1,2,3,2,3,0,7,3,1,4,1,2,1,4,1,4,2,62
1,1,3,1,3,3,0,2,1,4,5,3,9,3,1,3,2,3,4,4,1,5,2,47
1,1,4,1,1,3,1,2,1,1,5,3,6,3,3,2,4,4,4,4,1,5,2,56
2,1,1,0,0,3,2,1,3,5,2,2,8,6,1,3,1,1,6,3,2,3,2,65
2,0,1,2,3,3,1,5,3,2,2,0,6.5,3,0,0,1,1,3,6,1,4,2,65
1,0,1,2,1,6,1,2,3,4,4,3,8,6,0,2,4,4,5,6,2,5,2,43
1,1,4,2,2,6,1,1,1,4,4,2,8,6,0,2,4,4,0,4,1,5,2,60
1,1,4,2,1,6,1,3,4,4,3,2,8,3,0,2,0,0,0,3,1,3,2,140
1,1,1,2,4,6,0,3,3,3,4,3,5,3,0,3,2,1,0,6,2,4,2,43
2,1,3,2,4,3,1,2,3,1,5,1,8,3,1,2,1,1,2,4,1,5,2,60
1,2,1,2,2,6,1,2,1,4,4,3,9,1,3,3,4,4,5,3,2,3,2,53
2,1,1,2,5,6,1,1,3,1,3,0,7,3,1,2,1,1,1,4,1,5,2,60
1,1,4,2,4,0,1,2,3,1,4,2,5,1,1,2,2,1,1,3,1,4,2,44
1,2,1,1,2,6,1,2,3,2,4,2,8,8,1,3,2,1,2,0,2,4,2,10
2,1,1,1,3,6,1,5,0,4,4,2,7,1,0,2,1,1,1,6,2,5,2,120
2,1,3,1,5,6,2,1,3,2,4,3,7,7,6,3,2,1,1,5,1,3,2,62.5
1,0,1,2,5,5,1,2,3,5,5,3,9,8,2,3,4,4,6,6,2,2,2,45
1,1,3,2,1,6,1,1,3,4,4,3,8,2,4,3,4,4,3,3,2,5,2,126
1,1,3,2,1,6,1,2,4,4,4,1,7,1,3,3,4,4,3,6,2,4,1,85
1,0,3,0,2,0,2,2,3,4,5,3,5,3,0,3,0,1,0,0,1,5,1,60
1,1,1,0,3,3,1,2,1,4,3,2,8,3,2,2,4,4,4,5,1,3,2,94
1,1,4,0,3,4,2,3,2,3,3,2,1,4,5,3,4,3,2,3,2,2,2,20
1,0,4,2,1,3,1,2,1,2,4,0,9.5,2,1,0,0,4,2,4,1,4,2,47
1,1,3,2,1,6,1,1,3,4,4,3,7,5,0,3,4,4,5,5,1,4,2,95
2,2,1,2,3,6,2,2,2,2,2,2,7,1,1,2,1,1,3,4,1,3,1,68
1,1,1,2,1,3,1,2,2,4,5,3,6,6,3,3,4,4,0,3,2,4,2,56
2,1,3,2,4,3,1,4,3,4,4,3,7,3,1,3,1,1,4,3,1,4,2,80
2,1,3,2,5,6,1,2,3,2,4,3,6,1,1,3,1,1,1,4,1,5,2,54
1,1,1,2,5,3,1,2,4,5,4,1,5,2,0,1,1,1,2,2,1,3,2,72
1,2,3,1,4,6,1,2,3,4,5,3,7,3,1,3,1,1,4,4,1,4,2,52
1,0,1,2,4,3,1,2,1,2,4,3,8,1,2,3,4,4,4,5,1,3,2,57
1,1,4,2,3,3,0,2,4,4,2,3,10,3,6,2,4,4,6,3,1,3,2,56
1,1,1,2,5,3,1,2,1,5,4,2,3,8,6,2,4,4,6,3,2,4,2,52
1,1,1,2,4,6,1,2,3,4,3,2,5,1,0,3,2,1,3,3,1,5,2,45
1,1,4,1,1,3,1,2,1,1,5,3,10,1,3,3,4,4,6,2,1,5,1,80
2,0,1,0,3,6,1,2,3,4,4,3,9,2,1,3,2,1,5,5,1,3,2,65
1,1,1,2,3,6,1,2,2,4,5,2,7,1,3,2,4,3,4,4,1,4,2,48
1,1,1,2,1,3,1,1,1,4,3,2,5,7,2,3,4,4,3,4,1,4,2,60
1,1,4,1,1,6,2,1,1,4,5,2,5,1,3,2,4,4,2,2,1,5,2,70
2,1,3,2,4,3,1,2,3,2,3,0,8,1,1,0,1,1,2,3,1,4,2,73
1,1,3,2,3,3,1,2,1,2,4,2,5,1,4,3,4,4,3,2,1,4,2,65
1,1,4,2,1,3,1,2,1,4,3,2,6,3,2,3,4,4,2,4,2,4,1,52
0,0,4,1,4,6,1,2,1,2,5,3,8,1,1,3,4,4,5,4,1,5,2,68
1,1,1,2,5,3,1,0,1,4,4,0,7,3,1,3,4,4,2,3,1,4,2,56
2,0,3,1,4,3,0,2,3,2,4,0,5,1,0,0,2,1,4,2,1,4,2,96
1,0,3,2,4,6,1,2,3,4,3,0,6,3,0,0,1,1,3,3,1,5,2,64
1,0,4,0,3,3,0,2,4,4,4,4,4,2,3,4,1,1,3,2,1,4,1,75
1,1,4,1,3,3,1,3,1,5,3,2,5,2,2,3,4,4,4,3,2,3,1,60
2,0,3,2,3,3,1,2,1,5,4,3,8,1,3,3,4,4,2,4,2,4,2,65
1,0,3,1,1,0,1,2,1,2,4,2,9,1,5,2,4,4,5,4,1,4,1,55
1,0,3,2,3,3,1,2,1,4,3,3,7,1,1,3,4,3,5,2,1,5,2,74
1,1,3,2,2,3,1,2,1,2,5,3,8,2,0,3,4,4,3,4,1,5,1,90
2,1,2,0,3,3,1,5,1,4,4,3,8,1,0,3,0,4,4,3,1,5,1,70
1,1,3,1,5,3,1,3,1,2,5,2,8,1,1,3,1,3,3,4,1,4,2,50
1,1,3,2,3,6,1,1,1,4,4,3,8,2,1,2,4,4,4,5,1,4,2,96
1,2,3,2,2,6,1,2,1,4,3,3,5,1,2,3,4,4,2,3,2,4,2,55
1,1,1,2,1,3,1,2,3,4,3,3,7,1,2,3,4,4,4,3,1,4,2,59
1,1,3,1,1,6,1,2,1,4,5,3,10,5,5,4,4,4,5,5,1,4,2,60
1,1,4,2,2,3,1,2,1,1,5,5,10,1,6,5,4,4,3,2,1,5,2,70
1,2,4,2,1,6,1,1,3,1,4,3,8,3,0,3,4,4,2,5,1,1,2,109
1,1,4,2,3,6,1,2,1,4,4,3,6,2,0,3,4,4,0,4,1,4,2,55
1,1,4,2,3,3,1,3,1,2,5,3,5,3,4,4,4,4,3,3,1,5,1,52
1,1,3,2,1,3,0,0,2,0,4,3,6,2,0,2,4,0,3,1,1,5,2,64
2,0,1,2,3,3,2,3,3,2,3,3,8,3,1,3,1,1,3,6,1,4,2,70
2,1,4,2,5,3,2,3,3,3,4,3,7,3,1,4,2,1,2,4,1,4,2,70
2,2,2,2,4,6,2,3,3,3,3,3,4,2,5,4,4,3,2,5,2,2,2,67
2,1,3,2,4,3,1,5,3,4,4,3,4,1,2,4,1,2,3,3,2,5,1,75
1,1,3,2,3,3,1,2,3,5,4,3,6,2,1,3,2,2,6,3,1,4,2,75
2,1,3,1,2,3,2,2,3,4,4,3,7,2,1,3,1,1,3,3,1,4,2,75
2,0,3,2,3,3,1,3,3,1,2,3,7,1,1,3,1,4,2,3,1,5,2,70
2,2,3,2,2,3,1,2,3,4,3,3,7,7,0,3,2,1,5,5,1,3,1,65
1,1,1,2,2,3,0,2,3,4,5,2,7,6,0,3,1,3,3,6,1,4,2,48
1,1,3,2,3,6,1,5,2,4,5,3,6,1,1,3,2,3,3,3,1,4,2,44
1,2,3,1,4,3,2,2,3,4,4,3,5,3,0,3,2,1,4,4,1,3,1,97
2,0,3,2,4,3,2,2,3,2,5,0,8,1,0,4,1,1,1,4,1,5,2,70
1,1,4,1,3,3,1,2,3,1,3,3,4,2,1,4,1,3,2,4,1,4,2,48
2,0,1,1,5,3,1,3,3,4,2,4,6,1,1,3,1,1,3,3,2,3,2,66
2,1,3,1,4,3,1,2,3,5,3,3,4,1,1,4,1,3,5,3,2,4,1,83
1,1,3,2,1,3,1,2,3,4,4,3,8,1,0,4,4,4,2,3,2,4,2,120
1,0,4,2,4,3,1,2,3,5,3,3,10,3,6,3,1,1,5,6,1,2,2,60
1,1,3,2,5,3,1,5,3,2,4,3,7,1,1,3,1,1,2,5,1,5,2,52
1,1,1,1,3,3,0,2,3,5,3,2,9,1,1,2,2,3,0,5,2,3,2,48.5
2,1,4,1,2,3,1,3,3,2,5,2,5,1,0,4,1,2,3,3,1,4,1,75
1,1,3,2,5,3,1,3,4,3,4,0,7,3,2,2,1,1,3,4,0,3,2,47
2,1,1,2,2,3,2,3,2,3,3,3,7,4,1,4,2,2,5,4,2,5,2,68
2,2,4,2,5,3,2,3,3,2,4,3,7,1,1,3,1,1,2,3,1,4,2,85
1,1,1,2,3,6,1,4,0,5,4,3,7,6,1,4,2,1,2,6,2,4,2,49
2,2,3,0,3,6,1,4,3,3,3,3,5,1,0,3,1,1,4,3,1,3,2,75
2,1,3,1,4,3,1,3,3,1,5,3,6,3,1,3,1,1,2,4,1,4,2,75
2,1,1,0,2,1,2,4,0,4,5,3,7,3,0,4,2,1,5,3,1,1,2,80
2,2,4,2,5,3,1,4,3,1,3,3,7,1,1,3,2,1,1,3,1,5,2,78
1,1,1,2,4,6,1,2,0,5,3,0,8,3,0,0,4,4,0,5,1,4,2,57
1,0,1,1,3,6,1,0,3,5,3,3,7,2,6,4,3,3,0,6,2,4,2,42
2,1,1,2,5,3,1,2,3,1,4,3,6,3,1,4,1,1,2,5,2,3,2,64
1,1,4,2,1,3,1,3,1,2,5,4,7,1,3,4,1,4,3,3,1,5,1,52
2,1,3,1,3,3,1,3,3,2,3,2,7,2,1,2,1,1,3,3,1,4,2,75
1,1,3,2,4,3,1,2,2,1,4,3,7,3,0,3,1,1,5,3,1,3,2,55
2,1,3,2,5,3,1,3,0,2,3,3,7,3,0,3,1,1,3,5,1,3,2,63
2,2,1,2,1,3,1,4,1,5,4,0,5,2,1,5,1,2,0,4,2,1,2,67
2,2,2,1,4,3,1,4,3,2,5,3,6,6,1,4,1,1,2,5,1,2,2,60
1,1,1,2,1,3,1,2,3,4,5,3,7,3,0,3,2,2,3,4,2,5,2,52
1,1,4,1,3,3,2,2,3,4,4,3,8,1,1,4,2,1,6,4,1,4,1,45
2,1,2,2,4,5,2,3,3,2,3,4,7,3,4,3,5,4,3,3,0,3,0,75
1,2,1,1,5,3,1,4,3,5,4,3,7,6,1,3,1,1,2,5,2,4,1,46
2,2,1,2,3,3,2,2,2,3,3,3,6,3,0,4,2,3,3,3,1,4,2,75
2,1,4,1,3,3,1,4,2,2,5,3,6,3,0,3,2,2,4,3,1,5,2,78
1,1,3,1,3,3,1,2,3,3,4,2,6,1,0,3,1,3,6,3,1,2,2,60
2,1,3,1,3,3,2,3,3,3,4,2,8,2,1,2,1,1,3,3,1,4,1,85
